date_error,product_id,algorithm,price,rmin,rmax,type_error
0,2023-09-14,1bc0f33a-d720-11ec-8fbe-00155d8ed20b,3,39499,18899,62799,Товар имеет несколько новых цен
1,2023-09-14,1bc0f33a-d720-11ec-8fbe-00155d8ed20b,9,39499,18899,62799,Товар имеет несколько новых цен
2,2023-09-18,1bc0f33a-d720-11ec-8fbe-00155d8ed20b,3,39499,18899,62799,Товар имеет несколько новых цен
3,2023-09-18,1bc0f33a-d720-11ec-8fbe-00155d8ed20b,9,39499,18899,62799,Товар имеет несколько новых цен
4,2023-09-18,d1655e30-2bdf-11ec-a25b-00155dd2ff2e,6,35499,35499,55999,Новая цена равна текущей ФЦ ОРП
5,2023-09-19,5e4e7d0e-f0b4-11ea-a211-00155d03332b,3,3499,1750,6899,Товар имеет несколько новых цен
6,2023-09-19,1bc0f33a-d720-11ec-8fbe-00155d8ed20b,3,39499,18899,62799,Товар имеет несколько новых цен
7,2023-09-19,1bc0f33a-d720-11ec-8fbe-00155d8ed20b,9,39499,18899,62799,Товар имеет несколько новых цен
8,2023-09-19,c2b1d13b-973b-11eb-a244-00155dd2ff05,4,2350,2099,3399,Товар имеет несколько новых цен
9,2023-09-19,4c03ecc1-696e-11ed-9059-00155d8ed20b,4,2299,2199,3499,Новая цена равна текущей ФЦ ОРП
10,2023-09-19,08433440-9b93-11ed-908b-00155d8ed20c,4,2299,2199,3399,Новая цена равна текущей ФЦ ОРП
11,2023-09-19,7d9e9d8a-47e8-11ea-be44-00155d03330f,4,2450,1499,2950,Новая цена равна текущей ФЦ ОРП
12,2023-09-19,5b3ed827-2511-11ed-900d-00155d8ed20c,4,2750,1350,3299,Новая цена равна текущей ФЦ ОРП
13,2023-09-19,a80cca4d-7b56-11ed-906b-00155d8ed20b,4,2999,1799,3599,Новая цена равна текущей ФЦ ОРП
14,2023-09-19,f968bae4-6037-11ed-9050-00155d8ed20c,4,3799,2899,5999,Новая цена равна текущей ФЦ ОРП
15,2023-09-19,d5dc18ff-da31-11eb-a22f-00155dd2ff2e,4,5099,4699,7799,Новая цена равна текущей ФЦ ОРП
16,2023-09-19,1b96d185-5ff8-11ed-9050-00155d8ed20c,4,5799,5199,10699,Новая цена равна текущей ФЦ ОРП
17,2023-09-19,74bc31df-2513-11ed-900d-00155d8ed20c,4,6599,2499,8199,Новая цена равна текущей ФЦ ОРП
18,2023-09-19,5b8ef167-e89c-11e9-a20c-00155df1b805,4,8599,7899,10399,Новая цена равна текущей ФЦ ОРП
19,2023-09-19,7283a0d5-09a2-11e9-a205-00155d03332b,4,22999,22999,0,Новая цена равна текущей ФЦ ОРП
20,2023-09-19,55a21d03-76b5-11ed-9068-00155d8ed20c,4,44999,34499,53999,Новая цена равна текущей ФЦ ОРП
21,2023-09-19,e4e068cf-00f4-11ed-8fe7-00155d8ed20b,4,44999,34499,53999,Новая цена равна текущей ФЦ ОРП
22,2023-09-19,d5551a93-76b8-11ed-9067-00155d8ed20b,4,53999,39799,64799,Новая цена равна текущей ФЦ ОРП
23,2023-09-19,55f372d3-d1b9-11ec-8fba-00155d8ed20c,4,54499,52499,120499,Новая цена равна текущей ФЦ ОРП
24,2023-09-19,6309c40d-bfa1-11ec-8fa8-00155d8ed20b,4,54499,52499,104499,Новая цена равна текущей ФЦ ОРП
25,2023-09-19,19d95852-a127-11e9-a20b-00155df1b805,4,54499,52499,74299,Новая цена равна текущей ФЦ ОРП
26,2023-09-19,5e4e7d0e-f0b4-11ea-a211-00155d03332b,7,3499,1750,6899,Товар имеет несколько новых цен
27,2023-09-19,c2b1d13b-973b-11eb-a244-00155dd2ff05,13,2350,2099,3399,Товар имеет несколько новых цен
28,2023-09-20,9c1662ab-226b-11eb-a227-00155d03333a,5,0,9999,32999,Товар имеет несколько новых цен
29,2023-09-20,9c1662ab-226b-11eb-a227-00155d03333a,3,0,9999,32999,Товар имеет несколько новых цен
30,2023-09-20,1bc0f33a-d720-11ec-8fbe-00155d8ed20b,3,39499,18899,62799,Товар имеет несколько новых цен
31,2023-09-20,1bc0f33a-d720-11ec-8fbe-00155d8ed20b,9,39499,18899,62799,Товар имеет несколько новых цен
32,2023-09-21,1bc0f33a-d720-11ec-8fbe-00155d8ed20b,3,39499,18899,62799,Товар имеет несколько новых цен
33,2023-09-21,1bc0f33a-d720-11ec-8fbe-00155d8ed20b,9,39499,18899,62799,Товар имеет несколько новых цен
34,2023-09-29,ae919235-b0ea-11ed-909f-00155d8ed209,14,16499,18299,25699,Новая цена меньше Рмин
35,2023-09-29,aca7cc17-3a30-11ed-9023-00155d8ed20c,14,18499,20399,29199,Новая цена меньше Рмин
36,2023-09-29,62391b7d-4481-11ed-902f-00155d8ed20c,14,50999,56999,79299,Новая цена меньше Рмин
37,2023-09-29,ab2a526f-b0ea-11ed-909f-00155d8ed209,14,52999,61799,85299,Новая цена меньше Рмин
38,2023-09-29,ab2a6563-b0ea-11ed-909f-00155d8ed209,14,53499,62799,86799,Новая цена меньше Рмин
39,2023-10-02,de428b11-add6-11ed-909a-00155d8ed20b,1,2299,650,3199,Товар имеет несколько новых цен
40,2023-10-02,771e12e9-add7-11ed-909a-00155d8ed20b,1,2299,599,2799,Товар имеет несколько новых цен
41,2023-10-02,4c6c1b50-add0-11ed-909a-00155d8ed20b,1,2499,950,4599,Товар имеет несколько новых цен
42,2023-10-02,4e2e0e99-544a-11ea-a20d-00155df1b805,1,4199,2599,18899,Товар имеет несколько новых цен
43,2023-10-02,33c1f0ec-8a27-493c-84df-ed6333f698c7,4,99,70,250,Товар имеет несколько новых цен
44,2023-10-02,3492a1d6-be8b-11eb-a26a-00155d42eb15,4,1299,1199,1799,Товар имеет несколько новых цен
45,2023-10-02,14e884f7-ae6f-11ed-909b-00155d8ed20b,7,2599,1150,3199,Товар имеет несколько новых цен
46,2023-10-02,52935bf0-b27a-11ed-909e-00155d8ed20b,7,2599,1450,3599,Товар имеет несколько новых цен
47,2023-10-02,52935bf0-b27a-11ed-909e-00155d8ed20b,13,2599,1450,3599,Товар имеет несколько новых цен
48,2023-10-02,3492a1d6-be8b-11eb-a26a-00155d42eb15,13,1299,1199,1799,Товар имеет несколько новых цен
49,2023-10-02,771e12e9-add7-11ed-909a-00155d8ed20b,13,2299,599,2799,Товар имеет несколько новых цен
50,2023-10-02,de428b11-add6-11ed-909a-00155d8ed20b,13,2299,650,3199,Товар имеет несколько новых цен
51,2023-10-02,4c6c1b50-add0-11ed-909a-00155d8ed20b,13,2499,950,4599,Товар имеет несколько новых цен
52,2023-10-02,14e884f7-ae6f-11ed-909b-00155d8ed20b,13,2599,1150,3199,Товар имеет несколько новых цен
53,2023-10-02,4e2e0e99-544a-11ea-a20d-00155df1b805,13,4199,2599,18899,Товар имеет несколько новых цен
54,2023-10-02,33c1f0ec-8a27-493c-84df-ed6333f698c7,13,99,70,250,Товар имеет несколько новых цен
55,2023-10-06,77faf354-0995-11ed-8ff1-00155d8ed20b,14,21499,37999,26199,Новая цена меньше Рмин
56,2023-10-09,f91a40d0-a777-11ed-9097-00155d8ed209,1,17999,12699,22199,Товар имеет несколько новых цен
57,2023-10-09,f91a40d0-a777-11ed-9097-00155d8ed209,4,17999,12699,22199,Товар имеет несколько новых цен
58,2023-10-13,83af913c-54bf-4d32-b83e-4cf08f0fe9ba,13,22999,18799,27599,Товар имеет несколько новых цен
59,2023-10-13,83af913c-54bf-4d32-b83e-4cf08f0fe9ba,11,22999,18799,27599,Товар имеет несколько новых цен
